Creator NetID,Checker NetID,Filename,Title,Author,Year,Genre,Form,Country of Origin,Length (words),Original Language,"Point of View (1, 3, drama, play, uncertain)","Gender 
(M = 0, F = 1)",Horror?
cdc222,nkm49,stevenson_the_strange_case_of_dr_jekyll_and_mr_hyde_pg42.txt,The Strange Case Of Dr. Jekyll And Mr. Hyde,"Stevenson, Robert Louis ",1886,Gothic; Horror,Novel,United Kingdom,25568,English,3,0,TRUE
sm2344,mas764,stevenson_treasure_island_pg120.txt,Treasure Island,"Stevenson, Robert Louis",1883,Adventure; Young adult literature,Novel,United Kingdom,,English,1,0,FALSE
jl2578,,stoker_dracula_pg160815,Dracula,"Stoker, Bram",1897,Horror; Gothic,Novel,United Kingdom,164101,English,,0,TRUE
jjd268,rrg73,stoker_the_mystery_of_the_sea_pg42455.txt,The Mystery of the Sea,"Stoker, Bram",1902,Adventure; Code and Cipher; Scotland,Novel,United Kingdom,,English,1,0,FALSE
cjz36,ahy7,stoker_the_jewel_of_seven_stars_pg3781.txt,The Jewel of Seven Stars,"Stoker, Bram",1903,Horror; Fiction,Novel,United Kingdom,90049,English,1,0,TRUE
mac487,mad298,stoker_the_man_pg2520.txt,The Man,"Stoker, Bram",1905,Horror,Novel,Ireland,105477,English,3,0,TRUE
jw975,,stoker_dracula's_guest_pg10150.txt,Dracula's Guest,"Stoker, Bram",1914,Horror,Short Story,United Kingdom,4843,English,,0,TRUE
az258,wpt25,stoker_the_lady_of_the_shroud_pg3095.txt,The Lady of the Shroud,"Stoker, Bram",1909,Horror,Novel,United Kingdom,127896,English,1,0,TRUE
lm638,rk493,stowe_uncle_toms_cabin.txt,Uncle Tom's Cabin,"Stowe, Harriet Beecher",1852,Slavery Fiction; Political Fiction,Novel,United States,182122,English,3,1,FALSE
ms2628,sy367,swift_gullivers_travels_pg829.txt,Gulliver's Travels Into Several Remote Nations of the World,"Swift, Jonathan",1726,Fantasy Fiction,Novel,United Kingdom,97730,English,1,0,FALSE
mck85,vlz2,twain_adventures_of_tom_sawyer_pg74.txt,Adventures of Tom Sawyer,"Twain, Mark",1876,Adventure; Satire,Novel,United States,70570,English,3,0,FALSE
xz494,kmw259,twain_adventures_of_huckleberry_finn_pg76.txt,Adventures of Huckleberry Finn,"Twain, Mark",1884,Historical Fiction,Novel,United Kingdom,112433,English,1,0,FALSE
mas764,sm2344,verne_around_the_world_in_80_days_pg103.txt,Around the World in Eighty Days,"Verne, Jules",1873,Adventure,Novel,France,67570,French,3,0,FALSE
jwz23,mp832,viereck_the_house_of_the_vampire.txt,The House of the Vampire,"Viereck, George Sylvester",1907,Fiction,Novel,United States,160815,English,,0,FALSE
vlz2,sah346,walpole_the_castle_of_otranto_pg696.txt,The Castle of Otranto,"Walpole, Horace",1764,Horror; Fiction; Gothic,Novel,United Kingdom,34579,English,3,0,TRUE
dzy4,ye35,wells_the_invisible_man_pg5320.txt,The Invisible Man,"Wells, Herbert George",1897,Horror; Science Fiction,Novel,United Kingdom,48339,English,3,0,TRUE
az258,wpt25,wells_the_war_of_the_worlds_pg36.txt,The War of the Worlds,"Wells, Herbert George",1898,Science Fiction,Novel,United Kingdom,60148,English,1,0,FALSE
mp832,jwz23,stoker_the_lair_of_the_white_worm_pg1188.txt,The Lair of the White Worm,"Wells, Herbert George",1911,Horror,Novel,United Kingdom,55221,English,3,0,TRUE
nb487,,warton_ethan_frome.txt,Ethan Frome,"Wharton, Edith",1911,Fiction,Novel,United States,,English,uncertain,1,FALSE
dzy4,evf23,wilde_the_picture_of_dorian_gray_pg174,The Picture of Dorian Gray,"Wilde, Oscar",1890,Philosophical Fiction; Decadent Literature,Novel,United Kingdom,78926,English,3,0,FALSE
hd292,emw246,wilde_intentions_pg887.txt,Intentions,"Wilde, Oscar",1891,Drama,Novel,United Kingdom,58427,English,4,0,FALSE
sah346,mck85,wilde_the_importance_of_being_earnest_pg844.txt,The Importance of Being Earnest,"Wilde, Oscar",1895,Comedy; Comic,Play,United Kingdom,20489,English,play,0,FALSE
hl973,,wilde_an_ideal_husband.txt,An Ideal Husband ,"Wilde, Oscar",1895,Comedy,Play,Ireland,30835,English,,0,FALSE
emw246,hd292,wodehouse_a_damsel_in_distress_pg2233.txt,A Damsel in distress,"Wodehouse, P.G.",1919,Humor; Fiction,Novel,United States,2233,English,,0,FALSE
sw925,,donnell_the_sorcery_club_pg14317,The Sorcery Club,Elliott O'Donnell,1912,Horror,Novel,United States,,English,,,TRUE
jet253,jl2578,radcliffe_the_mysteries_of_udolpho_pg3268.txt,The Mysteries of Udolpho,Ann Radcliffe,1794,Gothic; Horror,Novel,United Kingdom,290399,English,3,1,TRUE
tbn6,cjz36,walden_on_the_duty_of_civil_disobedience_pg205,On The Duty of Civil Disobedience,Thoreau Walden,1849,Fiction,Novel,United States,8265,English,1,0,FALSE
sza7,szk4,dostoevsky_the_brothers_karamazov_pg28054.txt,The Brothers Karamazov,"Dostoyevsky, Fyodor ",1880,Philosophical Fiction,Novel,Russia,351398,Russian,1,0,FALSE
sza7,szk4,dante_inferno_pg41537.txt,Inferno,"Alighieri, Dante",1472,Horror; Philosophical Fiction,Poem,United States,84141,Italian,2,0,TRUE
